Words,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,Phonemes,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
discuss,d,i,s,c,u,s,s,?,?,?,?,?,?,?,dI0skus,d,I,0,s,k,u,s,?,?,?
discussion,d,i,s,c,u,s,s,i,o,n,?,?,?,?,dI0skuF(A)n,d,I,0,s,k,u,F,(A),n,?
disease,d,i,s,e,a,s,e,?,?,?,?,?,?,?,dI0z5z,d,I,0,z,5,z,?,?,?,?
display,d,i,s,p,l,a,y,?,?,?,?,?,?,?,dI0spl!,d,I,0,s,p,l,!,?,?,?
do,d,o,?,?,?,?,?,?,?,?,?,?,?,?,d7,d,7,?,?,?,?,?,?,?,?
doctor,d,o,c,t,o,r,?,?,?,?,?,?,?,?,0doktA,0,d,o,k,t,A,?,?,?,?
document,d,o,c,u,m,e,n,t,?,?,?,?,?,?,0dokjUm(A)nt,0,d,o,k,j,U,m,(A),n,t
door,d,o,o,r,?,?,?,?,?,?,?,?,?,?,d6,d,6,?,?,?,?,?,?,?,?
doubt,d,o,u,b,t,?,?,?,?,?,?,?,?,?,d9t,d,9,t,?,?,?,?,?,?,?
down,d,o,w,n,?,?,?,?,?,?,?,?,?,?,d9n,d,9,n,?,?,?,?,?,?,?
draw,d,r,a,w,?,?,?,?,?,?,?,?,?,?,dr6,d,r,6,?,?,?,?,?,?,?
drink,d,r,i,n,k,?,?,?,?,?,?,?,?,?,drINk,d,r,I,N,k,?,?,?,?,?
drive,d,r,i,v,e,?,?,?,?,?,?,?,?,?,dr8v,d,r,8,v,?,?,?,?,?,?
driver,d,r,i,v,e,r,?,?,?,?,?,?,?,?,0dr8vA,0,d,r,8,v,A,?,?,?,?
drop,d,r,o,p,?,?,?,?,?,?,?,?,?,?,drop,d,r,o,p,?,?,?,?,?,?
drug,d,r,u,g,?,?,?,?,?,?,?,?,?,?,dru?,d,r,u,?,?,?,?,?,?,?
due,d,u,e,?,?,?,?,?,?,?,?,?,?,?,dj7,d,j,7,?,?,?,?,?,?,?
during,d,u,r,i,n,g,?,?,?,?,?,?,?,?,0djQrIN,0,d,j,Q,r,I,N,?,?,?
each,e,a,c,h,?,?,?,?,?,?,?,?,?,?,51,5,1,?,?,?,?,?,?,?,?
early,e,a,r,l,y,?,?,?,?,?,?,?,?,?,04li,0,4,l,i,?,?,?,?,?,?
easy,e,a,s,y,?,?,?,?,?,?,?,?,?,?,05zi,0,5,z,i,?,?,?,?,?,?
eat,e,a,t,?,?,?,?,?,?,?,?,?,?,?,5t,5,t,?,?,?,?,?,?,?,?
economic,e,c,o,n,o,m,i,c,?,?,?,?,?,?,?5kA0nomIk,?,5,k,A,0,n,o,m,I,k
economic,e,c,o,n,o,m,i,c,?,?,?,?,?,?,ekA0nomIk,e,k,A,0,n,o,m,I,k,?
economy,e,c,o,n,o,m,y,?,?,?,?,?,?,?,I0konAmi,I,0,k,o,n,A,m,i,?,?
education,e,d,u,c,a,t,i,o,n,?,?,?,?,?,edjU0k!F(A)n,e,d,j,U,0,k,!,F,(A),n
effect,e,f,f,e,c,t,?,?,?,?,?,?,?,?,I0fekt,I,0,f,e,k,t,?,?,?,?
effective,e,f,f,e,c,t,i,v,e,?,?,?,?,?,I0fektIv,I,0,f,e,k,t,I,v,?,?
effort,e,f,f,o,r,t,?,?,?,?,?,?,?,?,0efAt,0,e,f,A,t,?,?,?,?,?
eight,e,i,g,h,t,?,?,?,?,?,?,?,?,?,!t,!,t,?,?,?,?,?,?,?,?
either,e,i,t,h,e,r,?,?,?,?,?,?,?,?,08TA,0,8,T,A,?,?,?,?,?,?
either,e,i,t,h,e,r,?,?,?,?,?,?,?,?,05TA,0,5,T,A,?,?,?,?,?,?
election,e,l,e,c,t,i,o,n,?,?,?,?,?,?,I0lekF(A)n,I,0,l,e,k,F,(A),n,?,?
element,e,l,e,m,e,n,t,?,?,?,?,?,?,?,0elIm(A)nt,0,e,l,I,m,(A),n,t,?,?
else,e,l,s,e,?,?,?,?,?,?,?,?,?,?,els,e,l,s,?,?,?,?,?,?,?
email,e,m,a,i,l,?,?,?,?,?,?,?,?,?,05m!l,0,5,m,!,l,?,?,?,?,?
employee,e,m,p,l,o,y,e,e,?,?,?,?,?,?,empl$05,e,m,p,l,$,0,5,?,?,?
employee,e,m,p,l,o,y,e,e,?,?,?,?,?,?,em0pl$5,e,m,0,p,l,$,5,?,?,?
encourage,e,n,c,o,u,r,a,g,e,?,?,?,?,?,In0kurIJ,I,n,0,k,u,r,I,J,?,?
end,e,n,d,?,?,?,?,?,?,?,?,?,?,?,end,e,n,d,?,?,?,?,?,?,?
energy,e,n,e,r,g,y,?,?,?,?,?,?,?,?,0enAJi,0,e,n,A,J,i,?,?,?,?
enjoy,e,n,j,o,y,?,?,?,?,?,?,?,?,?,In0J$,I,n,0,J,$,?,?,?,?,?
enjoy,e,n,j,o,y,?,?,?,?,?,?,?,?,?,en0J$,e,n,0,J,$,?,?,?,?,?
enough,e,n,o,u,g,h,?,?,?,?,?,?,?,?,I0nuf,I,0,n,u,f,?,?,?,?,?
ensure,e,n,s,u,r,e,?,?,?,?,?,?,?,?,In0F6,I,n,0,F,6,?,?,?,?,?
ensure,e,n,s,u,r,e,?,?,?,?,?,?,?,?,In0FQ,I,n,0,F,Q,?,?,?,?,?
ensure,e,n,s,u,r,e,?,?,?,?,?,?,?,?,en0FQ,e,n,0,F,Q,?,?,?,?,?
ensure,e,n,s,u,r,e,?,?,?,?,?,?,?,?,en0F6,e,n,0,F,6,?,?,?,?,?
enter,e,n,t,e,r,?,?,?,?,?,?,?,?,?,0entA,0,e,n,t,A,?,?,?,?,?
entire,e,n,t,i,r,e,?,?,?,?,?,?,?,?,In0t^,I,n,0,t,^,?,?,?,?,?
entire,e,n,t,i,r,e,?,?,?,?,?,?,?,?,en0t^,e,n,0,t,^,?,?,?,?,?
especially,e,s,p,e,c,i,a,l,l,y,?,?,?,?,I0speF(A)li,I,0,s,p,e,F,(A),l,i,?
especially,e,s,p,e,c,i,a,l,l,y,?,?,?,?,e0speF(A)li,e,0,s,p,e,F,(A),l,i,?
establish,e,s,t,a,b,l,i,s,h,?,?,?,?,?,I0stablIF,I,0,s,t,a,b,l,I,F,?
establish,e,s,t,a,b,l,i,s,h,?,?,?,?,?,e0stablIF,e,0,s,t,a,b,l,I,F,?
estimate,e,s,t,i,m,a,t,e,?,?,?,?,?,?,0estIm!t,0,e,s,t,I,m,!,t,?,?
even,e,v,e,n,?,?,?,?,?,?,?,?,?,?,05v(A)n,0,5,v,(A),n,?,?,?,?,?
event,e,v,e,n,t,?,?,?,?,?,?,?,?,?,I0vent,I,0,v,e,n,t,?,?,?,?
ever,e,v,e,r,?,?,?,?,?,?,?,?,?,?,0evA,0,e,v,A,?,?,?,?,?,?
every,e,v,e,r,y,?,?,?,?,?,?,?,?,?,0evri,0,e,v,r,i,?,?,?,?,?
everyone,e,v,e,r,y,o,n,e,?,?,?,?,?,?,0evrIwun,0,e,v,r,I,w,u,n,?,?
everything,e,v,e,r,y,t,h,i,n,g,?,?,?,?,0evrIOIN,0,e,v,r,I,O,I,N,?,?
evidence,e,v,i,d,e,n,c,e,?,?,?,?,?,?,0evId(A)ns,0,e,v,I,d,(A),n,s,?,?
exactly,e,x,a,c,t,l,y,?,?,?,?,?,?,?,I?0zak(t)li,I,?,0,z,a,k,(t),l,i,?
exactly,e,x,a,c,t,l,y,?,?,?,?,?,?,?,e?0zak(t)li,e,?,0,z,a,k,(t),l,i,?
example,e,x,a,m,p,l,e,?,?,?,?,?,?,?,I?0z2mp(A)l,I,?,0,z,2,m,p,(A),l,?
example,e,x,a,m,p,l,e,?,?,?,?,?,?,?,e?0z2mp(A)l,e,?,0,z,2,m,p,(A),l,?
exercise,e,x,e,r,c,i,s,e,?,?,?,?,?,?,0eksAs8z,0,e,k,s,A,s,8,z,?,?
exist,e,x,i,s,t,?,?,?,?,?,?,?,?,?,I?0zIst,I,?,0,z,I,s,t,?,?,?
exist,e,x,i,s,t,?,?,?,?,?,?,?,?,?,e?0zIst,e,?,0,z,I,s,t,?,?,?
expect,e,x,p,e,c,t,?,?,?,?,?,?,?,?,Ik0spekt,I,k,0,s,p,e,k,t,?,?
expect,e,x,p,e,c,t,?,?,?,?,?,?,?,?,ek0spekt,e,k,0,s,p,e,k,t,?,?
experience,e,x,p,e,r,i,e,n,c,e,?,?,?,?,Ik0sp£r£ns,I,k,0,s,p,£,r,£,n,s
experience,e,x,p,e,r,i,e,n,c,e,?,?,?,?,ek0sp£r£ns,e,k,0,s,p,£,r,£,n,s
explain,e,x,p,l,a,i,n,?,?,?,?,?,?,?,Ik0spl!n,I,k,0,s,p,l,!,n,?,?
explain,e,x,p,l,a,i,n,?,?,?,?,?,?,?,ek0spl!n,e,k,0,s,p,l,!,n,?,?
express,e,x,p,r,e,s,s,?,?,?,?,?,?,?,Ik0spres,I,k,0,s,p,r,e,s,?,?
express,e,x,p,r,e,s,s,?,?,?,?,?,?,?,ek0spres,e,k,0,s,p,r,e,s,?,?
extend,e,x,t,e,n,d,?,?,?,?,?,?,?,?,Ik0stend,I,k,0,s,t,e,n,d,?,?
extend,e,x,t,e,n,d,?,?,?,?,?,?,?,?,ek0stend,e,k,0,s,t,e,n,d,?,?
eye,e,y,e,?,?,?,?,?,?,?,?,?,?,?,8,8,?,?,?,?,?,?,?,?,?
face,f,a,c,e,?,?,?,?,?,?,?,?,?,?,f!s,f,!,s,?,?,?,?,?,?,?
facility,f,a,c,i,l,i,t,y,?,?,?,?,?,?,fA0sIlIti,f,A,0,s,I,l,I,t,i,?
fact,f,a,c,t,?,?,?,?,?,?,?,?,?,?,fakt,f,a,k,t,?,?,?,?,?,?
factor,f,a,c,t,o,r,?,?,?,?,?,?,?,?,0faktA,0,f,a,k,t,A,?,?,?,?
fail,f,a,i,l,?,?,?,?,?,?,?,?,?,?,f!l,f,!,l,?,?,?,?,?,?,?
failure,f,a,i,l,u,r,e,?,?,?,?,?,?,?,0f!ljA,0,f,!,l,j,A,?,?,?,?
fall,f,a,l,l,?,?,?,?,?,?,?,?,?,?,f6l,f,6,l,?,?,?,?,?,?,?
family,f,a,m,i,l,y,?,?,?,?,?,?,?,?,0famIli,0,f,a,m,I,l,i,?,?,?
family,f,a,m,i,l,y,?,?,?,?,?,?,?,?,0fam(A)li,0,f,a,m,(A),l,i,?,?,?
fan,f,a,n,?,?,?,?,?,?,?,?,?,?,?,fan,f,a,n,?,?,?,?,?,?,?
far,f,a,r,?,?,?,?,?,?,?,?,?,?,?,f2,f,2,?,?,?,?,?,?,?,?
fast,f,a,s,t,?,?,?,?,?,?,?,?,?,?,f2st,f,2,s,t,?,?,?,?,?,?
father,f,a,t,h,e,r,?,?,?,?,?,?,?,?,0f2TA,0,f,2,T,A,?,?,?,?,?
fear,f,e,a,r,?,?,?,?,?,?,?,?,?,?,f£,f,£,?,?,?,?,?,?,?,?
feature,f,e,a,t,u,r,e,?,?,?,?,?,?,?,0f51A,0,f,5,1,A,?,?,?,?,?
feel,f,e,e,l,?,?,?,?,?,?,?,?,?,?,f5l,f,5,l,?,?,?,?,?,?,?
female,f,e,m,a,l,e,?,?,?,?,?,?,?,?,0f5m!l,0,f,5,m,!,l,?,?,?,?
few,f,e,w,?,?,?,?,?,?,?,?,?,?,?,fj7,f,j,7,?,?,?,?,?,?,?
field,f,i,e,l,d,?,?,?,?,?,?,?,?,?,f5ld,f,5,l,d,?,?,?,?,?,?
fight,f,i,g,h,t,?,?,?,?,?,?,?,?,?,f8t,f,8,t,?,?,?,?,?,?,?
figure,f,i,g,u,r,e,?,?,?,?,?,?,?,?,0fI?A,0,f,I,?,A,?,?,?,?,?
file,f,i,l,e,?,?,?,?,?,?,?,?,?,?,f8l,f,8,l,?,?,?,?,?,?,?
fill,f,i,l,l,?,?,?,?,?,?,?,?,?,?,fIl,f,I,l,?,?,?,?,?,?,?
film,f,i,l,m,?,?,?,?,?,?,?,?,?,?,fIlm,f,I,l,m,?,?,?,?,?,?
final,f,i,n,a,l,?,?,?,?,?,?,?,?,?,0f8n(A)l,0,f,8,n,(A),l,?,?,?,?
finally,f,i,n,a,l,l,y,?,?,?,?,?,?,?,0f8nAli,0,f,8,n,A,l,i,?,?,?
financial,f,i,n,a,n,c,i,a,l,?,?,?,?,?,f80nanF(A)l,f,8,0,n,a,n,F,(A),l,?
financial,f,i,n,a,n,c,i,a,l,?,?,?,?,?,fI0nanF(A)l,f,I,0,n,a,n,F,(A),l,?
find,f,i,n,d,?,?,?,?,?,?,?,?,?,?,f8nd,f,8,n,d,?,?,?,?,?,?
fine,f,i,n,e,?,?,?,?,?,?,?,?,?,?,f8n,f,8,n,?,?,?,?,?,?,?
finish,f,i,n,i,s,h,?,?,?,?,?,?,?,?,0fInIF,0,f,I,n,I,F,?,?,?,?
fire,f,i,r,e,?,?,?,?,?,?,?,?,?,?,0f^,0,f,^,?,?,?,?,?,?,?
firm,f,i,r,m,?,?,?,?,?,?,?,?,?,?,f4m,f,4,m,?,?,?,?,?,?,?
first,f,i,r,s,t,?,?,?,?,?,?,?,?,?,f4st,f,4,s,t,?,?,?,?,?,?
fit,f,i,t,?,?,?,?,?,?,?,?,?,?,?,fIt,f,I,t,?,?,?,?,?,?,?
five,f,i,v,e,?,?,?,?,?,?,?,?,?,?,f8v,f,8,v,?,?,?,?,?,?,?
fly,f,l,y,?,?,?,?,?,?,?,?,?,?,?,fl8,f,l,8,?,?,?,?,?,?,?
focus,f,o,c,u,s,?,?,?,?,?,?,?,?,?,0fZkAs,0,f,Z,k,A,s,?,?,?,?
follow,f,o,l,l,o,w,?,?,?,?,?,?,?,?,0folZ,0,f,o,l,Z,?,?,?,?,?
food,f,o,o,d,?,?,?,?,?,?,?,?,?,?,f7d,f,7,d,?,?,?,?,?,?,?
foot,f,o,o,t,?,?,?,?,?,?,?,?,?,?,fUt,f,U,t,?,?,?,?,?,?,?
for,f,o,r,?,?,?,?,?,?,?,?,?,?,?,f6,f,6,?,?,?,?,?,?,?,?
for,f,o,r,?,?,?,?,?,?,?,?,?,?,?,fA,f,A,?,?,?,?,?,?,?,?
force,f,o,r,c,e,?,?,?,?,?,?,?,?,?,f6s,f,6,s,?,?,?,?,?,?,?
foreign,f,o,r,e,i,g,n,?,?,?,?,?,?,?,0forIn,0,f,o,r,I,n,?,?,?,?
form,f,o,r,m,?,?,?,?,?,?,?,?,?,?,f6m,f,6,m,?,?,?,?,?,?,?
former,f,o,r,m,e,r,?,?,?,?,?,?,?,?,0f6mA,0,f,6,m,A,?,?,?,?,?
forward,f,o,r,w,a,r,d,?,?,?,?,?,?,?,0f6wAd,0,f,6,w,A,d,?,?,?,?
four,f,o,u,r,?,?,?,?,?,?,?,?,?,?,f6,f,6,?,?,?,?,?,?,?,?
free,f,r,e,e,?,?,?,?,?,?,?,?,?,?,fr5,f,r,5,?,?,?,?,?,?,?
friend,f,r,i,e,n,d,?,?,?,?,?,?,?,?,frend,f,r,e,n,d,?,?,?,?,?
from,f,r,o,m,?,?,?,?,?,?,?,?,?,?,from,f,r,o,m,?,?,?,?,?,?
from,f,r,o,m,?,?,?,?,?,?,?,?,?,?,frAm,f,r,A,m,?,?,?,?,?,?
front,f,r,o,n,t,?,?,?,?,?,?,?,?,?,frunt,f,r,u,n,t,?,?,?,?,?
full,f,u,l,l,?,?,?,?,?,?,?,?,?,?,fUl,f,U,l,?,?,?,?,?,?,?
fun,f,u,n,?,?,?,?,?,?,?,?,?,?,?,fun,f,u,n,?,?,?,?,?,?,?
function,f,u,n,c,t,i,o,n,?,?,?,?,?,?,0fuN(k)F(A)n,0,f,u,N,(k),F,(A),n,?,?
fund,f,u,n,d,?,?,?,?,?,?,?,?,?,?,fund,f,u,n,d,?,?,?,?,?,?
further,f,u,r,t,h,e,r,?,?,?,?,?,?,?,0f4TA,0,f,4,T,A,?,?,?,?,?
future,f,u,t,u,r,e,?,?,?,?,?,?,?,?,0fj71A,0,f,j,7,1,A,?,?,?,?
gain,g,a,i,n,?,?,?,?,?,?,?,?,?,?,?!n,?,!,n,?,?,?,?,?,?,?
game,g,a,m,e,?,?,?,?,?,?,?,?,?,?,?!m,?,!,m,?,?,?,?,?,?,?
gene,g,e,n,e,?,?,?,?,?,?,?,?,?,?,J5n,J,5,n,?,?,?,?,?,?,?
general,g,e,n,e,r,a,l,?,?,?,?,?,?,?,0Jen(A)r(A)l,0,J,e,n,(A),r,(A),l,?,?
generally,g,e,n,e,r,a,l,l,y,?,?,?,?,?,0Jen(A)rAli,0,J,e,n,(A),r,A,l,i,?
generation,g,e,n,e,r,a,t,i,o,n,?,?,?,?,JenA0r!F(A)n,J,e,n,A,0,r,!,F,(A),n
get,g,e,t,?,?,?,?,?,?,?,?,?,?,?,?et,?,e,t,?,?,?,?,?,?,?
girl,g,i,r,l,?,?,?,?,?,?,?,?,?,?,?4l,?,4,l,?,?,?,?,?,?,?
give,g,i,v,e,?,?,?,?,?,?,?,?,?,?,?Iv,?,I,v,?,?,?,?,?,?,?
global,g,l,o,b,a,l,?,?,?,?,?,?,?,?,0?lZb(A)l,0,?,l,Z,b,(A),l,?,?,?
go,g,o,?,?,?,?,?,?,?,?,?,?,?,?,?Z,?,Z,?,?,?,?,?,?,?,?
goal,g,o,a,l,?,?,?,?,?,?,?,?,?,?,?Zl,?,Z,l,?,?,?,?,?,?,?
good,g,o,o,d,?,?,?,?,?,?,?,?,?,?,?Ud,?,U,d,?,?,?,?,?,?,?
government,g,o,v,e,r,n,m,e,n,t,?,?,?,?,0?uvAm(A)nt,0,?,u,v,A,m,(A),n,t,?
great,g,r,e,a,t,?,?,?,?,?,?,?,?,?,?r!t,?,r,!,t,?,?,?,?,?,?
ground,g,r,o,u,n,d,?,?,?,?,?,?,?,?,?r9nd,?,r,9,n,d,?,?,?,?,?
group,g,r,o,u,p,?,?,?,?,?,?,?,?,?,?r7p,?,r,7,p,?,?,?,?,?,?
grow,g,r,o,w,?,?,?,?,?,?,?,?,?,?,?rZ,?,r,Z,?,?,?,?,?,?,?
growth,g,r,o,w,t,h,?,?,?,?,?,?,?,?,?rZO,?,r,Z,O,?,?,?,?,?,?
guy,g,u,y,?,?,?,?,?,?,?,?,?,?,?,?8,?,8,?,?,?,?,?,?,?,?
half,h,a,l,f,?,?,?,?,?,?,?,?,?,?,h2f,h,2,f,?,?,?,?,?,?,?
hand,h,a,n,d,?,?,?,?,?,?,?,?,?,?,hand,h,a,n,d,?,?,?,?,?,?
happen,h,a,p,p,e,n,?,?,?,?,?,?,?,?,0hap(A)n,0,h,a,p,(A),n,?,?,?,?
happy,h,a,p,p,y,?,?,?,?,?,?,?,?,?,0hapi,0,h,a,p,i,?,?,?,?,?
hard,h,a,r,d,?,?,?,?,?,?,?,?,?,?,h2d,h,2,d,?,?,?,?,?,?,?
have,h,a,v,e,?,?,?,?,?,?,?,?,?,?,hav,h,a,v,?,?,?,?,?,?,?
he,h,e,?,?,?,?,?,?,?,?,?,?,?,?,h5,h,5,?,?,?,?,?,?,?,?
head,h,e,a,d,?,?,?,?,?,?,?,?,?,?,hed,h,e,d,?,?,?,?,?,?,?
health,h,e,a,l,t,h,?,?,?,?,?,?,?,?,helO,h,e,l,O,?,?,?,?,?,?
hear,h,e,a,r,?,?,?,?,?,?,?,?,?,?,h£,h,£,?,?,?,?,?,?,?,?
heart,h,e,a,r,t,?,?,?,?,?,?,?,?,?,h2t,h,2,t,?,?,?,?,?,?,?
help,h,e,l,p,?,?,?,?,?,?,?,?,?,?,help,h,e,l,p,?,?,?,?,?,?
her,h,e,r,?,?,?,?,?,?,?,?,?,?,?,h4,h,4,?,?,?,?,?,?,?,?
here,h,e,r,e,?,?,?,?,?,?,?,?,?,?,h£,h,£,?,?,?,?,?,?,?,?
high,h,i,g,h,?,?,?,?,?,?,?,?,?,?,h8,h,8,?,?,?,?,?,?,?,?
highly,h,i,g,h,l,y,?,?,?,?,?,?,?,?,0h8li,0,h,8,l,i,?,?,?,?,?
him,h,i,m,?,?,?,?,?,?,?,?,?,?,?,hIm,h,I,m,?,?,?,?,?,?,?
himself,h,i,m,s,e,l,f,?,?,?,?,?,?,?,hIm0self,h,I,m,0,s,e,l,f,?,?
his,h,i,s,?,?,?,?,?,?,?,?,?,?,?,hIz,h,I,z,?,?,?,?,?,?,?
history,h,i,s,t,o,r,y,?,?,?,?,?,?,?,0hIst(A)ri,0,h,I,s,t,(A),r,i,?,?
hit,h,i,t,?,?,?,?,?,?,?,?,?,?,?,hIt,h,I,t,?,?,?,?,?,?,?
hold,h,o,l,d,?,?,?,?,?,?,?,?,?,?,hZld,h,Z,l,d,?,?,?,?,?,?
home,h,o,m,e,?,?,?,?,?,?,?,?,?,?,hZm,h,Z,m,?,?,?,?,?,?,?
hope,h,o,p,e,?,?,?,?,?,?,?,?,?,?,hZp,h,Z,p,?,?,?,?,?,?,?
hospital,h,o,s,p,i,t,a,l,?,?,?,?,?,?,0hospIt(A)l,0,h,o,s,p,I,t,(A),l,?
host,h,o,s,t,?,?,?,?,?,?,?,?,?,?,hZst,h,Z,s,t,?,?,?,?,?,?
hour,h,o,u,r,?,?,?,?,?,?,?,?,?,?,0&,0,&,?,?,?,?,?,?,?,?
house,h,o,u,s,e,?,?,?,?,?,?,?,?,?,h9s,h,9,s,?,?,?,?,?,?,?
how,h,o,w,?,?,?,?,?,?,?,?,?,?,?,h9,h,9,?,?,?,?,?,?,?,?
however,h,o,w,e,v,e,r,?,?,?,?,?,?,?,h90evA,h,9,0,e,v,A,?,?,?,?
huge,h,u,g,e,?,?,?,?,?,?,?,?,?,?,hj7J,h,j,7,J,?,?,?,?,?,?
human,h,u,m,a,n,?,?,?,?,?,?,?,?,?,0hj7mAn,0,h,j,7,m,A,n,?,?,?
hundred,h,u,n,d,r,e,d,?,?,?,?,?,?,?,0hundrAd,0,h,u,n,d,r,A,d,?,?
i,i,?,?,?,?,?,?,?,?,?,?,?,?,?,8,8,?,?,?,?,?,?,?,?,?
idea,i,d,e,a,?,?,?,?,?,?,?,?,?,?,80d£,8,0,d,£,?,?,?,?,?,?
identify,i,d,e,n,t,i,f,y,?,?,?,?,?,?,80dentIf8,8,0,d,e,n,t,I,f,8,?
if,i,f,?,?,?,?,?,?,?,?,?,?,?,?,If,I,f,?,?,?,?,?,?,?,?
image,i,m,a,g,e,?,?,?,?,?,?,?,?,?,0ImIJ,0,I,m,I,J,?,?,?,?,?
impact,i,m,p,a,c,t,?,?,?,?,?,?,?,?,0Impakt,0,I,m,p,a,k,t,?,?,?
important,i,m,p,o,r,t,a,n,t,?,?,?,?,?,Im0p6t(A)nt,I,m,0,p,6,t,(A),n,t,?
improve,i,m,p,r,o,v,e,?,?,?,?,?,?,?,Im0pr7v,I,m,0,p,r,7,v,?,?,?
in,i,n,?,?,?,?,?,?,?,?,?,?,?,?,In,I,n,?,?,?,?,?,?,?,?
include,i,n,c,l,u,d,e,?,?,?,?,?,?,?,In0kl7d,I,n,0,k,l,7,d,?,?,?
increase,i,n,c,r,e,a,s,e,?,?,?,?,?,?,In0kr5s,I,n,0,k,r,5,s,?,?,?
indeed,i,n,d,e,e,d,?,?,?,?,?,?,?,?,In0d5d,I,n,0,d,5,d,?,?,?,?
indicate,i,n,d,i,c,a,t,e,?,?,?,?,?,?,0IndIk!t,0,I,n,d,I,k,!,t,?,?
industry,i,n,d,u,s,t,r,y,?,?,?,?,?,?,0IndAstri,0,I,n,d,A,s,t,r,i,?
influence,i,n,f,l,u,e,n,c,e,?,?,?,?,?,0InflQns,0,I,n,f,l,Q,n,s,?,?
information,i,n,f,o,r,m,a,t,i,o,n,?,?,?,InfA0m!F(A)n,I,n,f,A,0,m,!,F,(A),n
injury,i,n,j,u,r,y,?,?,?,?,?,?,?,?,0In(d)S(A)ri,0,I,n,(d),S,(A),r,i,?,?
inside,i,n,s,i,d,e,?,?,?,?,?,?,?,?,In0s8d,I,n,0,s,8,d,?,?,?,?
instead,i,n,s,t,e,a,d,?,?,?,?,?,?,?,In0sted,I,n,0,s,t,e,d,?,?,?
interest,i,n,t,e,r,e,s,t,?,?,?,?,?,?,0Int(A)rIst,0,I,n,t,(A),r,I,s,t,?
interview,i,n,t,e,r,v,i,e,w,?,?,?,?,?,0IntAvj7,0,I,n,t,A,v,j,7,?,?
into,i,n,t,o,?,?,?,?,?,?,?,?,?,?,0IntU,0,I,n,t,U,?,?,?,?,?
into,i,n,t,o,?,?,?,?,?,?,?,?,?,?,0IntA,0,I,n,t,A,?,?,?,?,?
introduce,i,n,t,r,o,d,u,c,e,?,?,?,?,?,IntrA0dj7s,I,n,t,r,A,0,d,j,7,s
involve,i,n,v,o,l,v,e,?,?,?,?,?,?,?,In0volv,I,n,0,v,o,l,v,?,?,?
issue,i,s,s,u,e,?,?,?,?,?,?,?,?,?,0IF7,0,I,F,7,?,?,?,?,?,?
issue,i,s,s,u,e,?,?,?,?,?,?,?,?,?,0Isj7,0,I,s,j,7,?,?,?,?,?
it,i,t,?,?,?,?,?,?,?,?,?,?,?,?,It,I,t,?,?,?,?,?,?,?,?
its,i,t,s,?,?,?,?,?,?,?,?,?,?,?,Its,I,t,s,?,?,?,?,?,?,?
itself,i,t,s,e,l,f,?,?,?,?,?,?,?,?,It0self,I,t,0,s,e,l,f,?,?,?
job,j,o,b,?,?,?,?,?,?,?,?,?,?,?,Job,J,o,b,?,?,?,?,?,?,?
join,j,o,i,n,?,?,?,?,?,?,?,?,?,?,J$n,J,$,n,?,?,?,?,?,?,?
judge,j,u,d,g,e,?,?,?,?,?,?,?,?,?,JuJ,J,u,J,?,?,?,?,?,?,?
just,j,u,s,t,?,?,?,?,?,?,?,?,?,?,Just,J,u,s,t,?,?,?,?,?,?
keep,k,e,e,p,?,?,?,?,?,?,?,?,?,?,k5p,k,5,p,?,?,?,?,?,?,?
key,k,e,y,?,?,?,?,?,?,?,?,?,?,?,k5,k,5,?,?,?,?,?,?,?,?
kid,k,i,d,?,?,?,?,?,?,?,?,?,?,?,kId,k,I,d,?,?,?,?,?,?,?
kill,k,i,l,l,?,?,?,?,?,?,?,?,?,?,kIl,k,I,l,?,?,?,?,?,?,?
kind,k,i,n,d,?,?,?,?,?,?,?,?,?,?,k8nd,k,8,n,d,?,?,?,?,?,?
know,k,n,o,w,?,?,?,?,?,?,?,?,?,?,nZ,n,Z,?,?,?,?,?,?,?,?
knowledge,k,n,o,w,l,e,d,g,e,?,?,?,?,?,0nolIJ,0,n,o,l,I,J,?,?,?,?
lack,l,a,c,k,?,?,?,?,?,?,?,?,?,?,lak,l,a,k,?,?,?,?,?,?,?
land,l,a,n,d,?,?,?,?,?,?,?,?,?,?,land,l,a,n,d,?,?,?,?,?,?
language,l,a,n,g,u,a,g,e,?,?,?,?,?,?,0laN?wIJ,0,l,a,N,?,w,I,J,?,?
large,l,a,r,g,e,?,?,?,?,?,?,?,?,?,l2J,l,2,J,?,?,?,?,?,?,?
last,l,a,s,t,?,?,?,?,?,?,?,?,?,?,l2st,l,2,s,t,?,?,?,?,?,?
late,l,a,t,e,?,?,?,?,?,?,?,?,?,?,l!t,l,!,t,?,?,?,?,?,?,?
later,l,a,t,e,r,?,?,?,?,?,?,?,?,?,0l!tA,0,l,!,t,A,?,?,?,?,?
launch,l,a,u,n,c,h,?,?,?,?,?,?,?,?,l6n(t)F,l,6,n,(t),F,?,?,?,?,?
law,l,a,w,?,?,?,?,?,?,?,?,?,?,?,l6,l,6,?,?,?,?,?,?,?,?
lead,l,e,a,d,?,?,?,?,?,?,?,?,?,?,l5d,l,5,d,?,?,?,?,?,?,?
leader,l,e,a,d,e,r,?,?,?,?,?,?,?,?,0l5dA,0,l,5,d,A,?,?,?,?,?
