Source page: http://www.oxforddictionaries.com/top1000/english,
link,link/_text,link/_title,arl_value,arldict_flag,label,definition_description,"_PAGE_NUMBER"
"http://www.oxforddictionaries.com/definition/english/deal","deal British & World English","English definition of deal in Oxford Dictionaries (British & World English)","deal","British & World English","…","Distribute (cards) in an orderly rotation to players for a game or round","5"
"http://www.oxforddictionaries.com/definition/english/death","death British & World English","English definition of death in Oxford Dictionaries (British & World English)","death","British & World English","…","The action or fact of dying or being killed; the end of the life of a person or organism","5"
"http://www.oxforddictionaries.com/definition/english/debate","debate British & World English","English definition of debate in Oxford Dictionaries (British & World English)","debate","British & World English","…","A formal discussion on a particular matter in a public meeting or legislative assembly, in which opposing arguments are put forward and which usually ends with a vote","5"
"http://www.oxforddictionaries.com/definition/english/decade","decade British & World English","English definition of decade in Oxford Dictionaries (British & World English)","decade","British & World English","…","A period of ten years","5"
"http://www.oxforddictionaries.com/definition/english/decide","decide British & World English","English definition of decide in Oxford Dictionaries (British & World English)","decide","British & World English","…","Come or bring to a resolution in the mind as a result of consideration","5"
"http://www.oxforddictionaries.com/definition/english/decision","decision British & World English","English definition of decision in Oxford Dictionaries (British & World English)","decision","British & World English","…","A conclusion or resolution reached after consideration","5"
"http://www.oxforddictionaries.com/definition/english/deep","deep British & World English","English definition of deep in Oxford Dictionaries (British & World English)","deep","British & World English","…","Extending far down from the top or surface","5"
"http://www.oxforddictionaries.com/definition/english/defence","defence British & World English","English definition of defence in Oxford Dictionaries (British & World English)","defence","British & World English","…","The action of defending from or resisting attack","5"
"http://www.oxforddictionaries.com/definition/english/define","define British & World English","English definition of define in Oxford Dictionaries (British & World English)","define","British & World English","…","State or describe exactly the nature, scope, or meaning of","5"
"http://www.oxforddictionaries.com/definition/english/degree","degree British & World English","English definition of degree in Oxford Dictionaries (British & World English)","degree","British & World English","…","The amount, level, or extent to which something happens or is present","5"
"http://www.oxforddictionaries.com/definition/english/deliver","deliver British & World English","English definition of deliver in Oxford Dictionaries (British & World English)","deliver","British & World English","…","Bring and hand over (a letter, parcel, or goods) to the proper recipient or address","5"
"http://www.oxforddictionaries.com/definition/english/demand","demand British & World English","English definition of demand in Oxford Dictionaries (British & World English)","demand","British & World English","…","An insistent and peremptory request, made as of right","5"
"http://www.oxforddictionaries.com/definition/english/demonstrate","demonstrate British & World English","English definition of demonstrate in Oxford Dictionaries (British & World English)","demonstrate","British & World English","…","Clearly show the existence or truth of (something) by giving proof or evidence","5"
"http://www.oxforddictionaries.com/definition/english/depend","depend British & World English","English definition of depend in Oxford Dictionaries (British & World English)","depend","British & World English","…","Be controlled or determined by","5"
"http://www.oxforddictionaries.com/definition/english/describe","describe British & World English","English definition of describe in Oxford Dictionaries (British & World English)","describe","British & World English","…","Give a detailed account in words of","5"
"http://www.oxforddictionaries.com/definition/english/design","design British & World English","English definition of design in Oxford Dictionaries (British & World English)","design","British & World English","…","A plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made","5"
"http://www.oxforddictionaries.com/definition/english/despite","despite British & World English","English definition of despite in Oxford Dictionaries (British & World English)","despite","British & World English","…","Without being affected by; in spite of","5"
"http://www.oxforddictionaries.com/definition/english/detail","detail British & World English","English definition of detail in Oxford Dictionaries (British & World English)","detail","British & World English","…","An individual fact or item","5"
"http://www.oxforddictionaries.com/definition/english/determine","determine British & World English","English definition of determine in Oxford Dictionaries (British & World English)","determine","British & World English","…","Cause (something) to occur in a particular way or to have a particular nature","5"
"http://www.oxforddictionaries.com/definition/english/develop","develop British & World English","English definition of develop in Oxford Dictionaries (British & World English)","develop","British & World English","…","Grow or cause to grow and become more mature, advanced, or elaborate","5"
"http://www.oxforddictionaries.com/definition/english/development","development British & World English","English definition of development in Oxford Dictionaries (British & World English)","development","British & World English","…","The process of developing or being developed","5"
"http://www.oxforddictionaries.com/definition/english/die","die British & World English","English definition of die in Oxford Dictionaries (British & World English)","die","British & World English","…","(Of a person, animal, or plant) stop living","5"
"http://www.oxforddictionaries.com/definition/english/difference","difference British & World English","English definition of difference in Oxford Dictionaries (British & World English)","difference","British & World English","…","A point or way in which people or things are dissimilar","5"
"http://www.oxforddictionaries.com/definition/english/different","different British & World English","English definition of different in Oxford Dictionaries (British & World English)","different","British & World English","…","Not the same as another or each other; unlike in nature, form, or quality","5"
"http://www.oxforddictionaries.com/definition/english/difficult","difficult British & World English","English definition of difficult in Oxford Dictionaries (British & World English)","difficult","British & World English","…","Needing much effort or skill to accomplish, deal with, or understand","5"
"http://www.oxforddictionaries.com/definition/english/direct","direct British & World English","English definition of direct in Oxford Dictionaries (British & World English)","direct","British & World English","…","Extending or moving from one place to another without changing direction or stopping","5"
"http://www.oxforddictionaries.com/definition/english/director","director British & World English","English definition of director in Oxford Dictionaries (British & World English)","director","British & World English","…","A person who is in charge of an activity, department, or organization","5"
"http://www.oxforddictionaries.com/definition/english/discover","discover British & World English","English definition of discover in Oxford Dictionaries (British & World English)","discover","British & World English","…","Find unexpectedly or during a search","5"
"http://www.oxforddictionaries.com/definition/english/discuss","discuss British & World English","English definition of discuss in Oxford Dictionaries (British & World English)","discuss","British & World English","…","Talk about (something) with a person or people","5"
"http://www.oxforddictionaries.com/definition/english/discussion","discussion British & World English","English definition of discussion in Oxford Dictionaries (British & World English)","discussion","British & World English","…","The action or process of talking about something in order to reach a decision or to exchange ideas","5"
"http://www.oxforddictionaries.com/definition/english/disease","disease British & World English","English definition of disease in Oxford Dictionaries (British & World English)","disease","British & World English","…","A disorder of structure or function in a human, animal, or plant, especially one that produces specific symptoms or that affects a specific location and is not simply a direct result of physical injury","5"
"http://www.oxforddictionaries.com/definition/english/display","display British & World English","English definition of display in Oxford Dictionaries (British & World English)","display","British & World English","…","Put (something) in a prominent place in order that it may readily be seen","5"
"http://www.oxforddictionaries.com/definition/english/do","do British & World English","English definition of do in Oxford Dictionaries (British & World English)","do","British & World English","…","Perform (an action, the precise nature of which is often unspecified)","5"
"http://www.oxforddictionaries.com/definition/english/doctor","doctor British & World English","English definition of doctor in Oxford Dictionaries (British & World English)","doctor","British & World English","…","A person who is qualified to treat people who are ill","5"
"http://www.oxforddictionaries.com/definition/english/document","document British & World English","English definition of document in Oxford Dictionaries (British & World English)","document","British & World English","…","A piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record","5"
"http://www.oxforddictionaries.com/definition/english/door","door British & World English","English definition of door in Oxford Dictionaries (British & World English)","door","British & World English","…","A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle, or in the framework of a cupboard","5"
"http://www.oxforddictionaries.com/definition/english/doubt","doubt British & World English","English definition of doubt in Oxford Dictionaries (British & World English)","doubt","British & World English","…","A feeling of uncertainty or lack of conviction","5"
"http://www.oxforddictionaries.com/definition/english/down","down British & World English","English definition of down in Oxford Dictionaries (British & World English)","down","British & World English","…","Towards or in a lower place or position, especially to or on the ground or another surface","5"
"http://www.oxforddictionaries.com/definition/english/draw","draw British & World English","English definition of draw in Oxford Dictionaries (British & World English)","draw","British & World English","…","Produce (a picture or diagram) by making lines and marks on paper with a pencil, pen, etc.","5"
"http://www.oxforddictionaries.com/definition/english/drink","drink British & World English","English definition of drink in Oxford Dictionaries (British & World English)","drink","British & World English","…","Take (a liquid) into the mouth and swallow","5"
"http://www.oxforddictionaries.com/definition/english/drive","drive British & World English","English definition of drive in Oxford Dictionaries (British & World English)","drive","British & World English","…","Operate and control the direction and speed of a motor vehicle","5"
"http://www.oxforddictionaries.com/definition/english/driver","driver British & World English","English definition of driver in Oxford Dictionaries (British & World English)","driver","British & World English","…","A person who drives a vehicle","5"
"http://www.oxforddictionaries.com/definition/english/drop","drop British & World English","English definition of drop in Oxford Dictionaries (British & World English)","drop","British & World English","…","Let or make (something) fall vertically","5"
"http://www.oxforddictionaries.com/definition/english/drug","drug British & World English","English definition of drug in Oxford Dictionaries (British & World English)","drug","British & World English","…","A medicine or other substance which has a physiological effect when ingested or otherwise introduced into the body","5"
"http://www.oxforddictionaries.com/definition/english/due","due British & World English","English definition of due in Oxford Dictionaries (British & World English)","due","British & World English","…","Expected at or planned for at a certain time","5"
"http://www.oxforddictionaries.com/definition/english/during","during British & World English","English definition of during in Oxford Dictionaries (British & World English)","during","British & World English","…","Throughout the course or duration of (a period of time)","6"
"http://www.oxforddictionaries.com/definition/english/each","each British & World English","English definition of each in Oxford Dictionaries (British & World English)","each","British & World English","…","Used to refer to every one of two or more people or things, regarded and identified separately","6"
"http://www.oxforddictionaries.com/definition/english/early","early British & World English","English definition of early in Oxford Dictionaries (British & World English)","early","British & World English","…","Happening or done before the usual or expected time","6"
"http://www.oxforddictionaries.com/definition/english/easy","easy British & World English","English definition of easy in Oxford Dictionaries (British & World English)","easy","British & World English","…","Achieved without great effort; presenting few difficulties","6"
"http://www.oxforddictionaries.com/definition/english/eat","eat British & World English","English definition of eat in Oxford Dictionaries (British & World English)","eat","British & World English","…","Put (food) into the mouth and chew and swallow it","6"
"http://www.oxforddictionaries.com/definition/english/economic","economic British & World English","English definition of economic in Oxford Dictionaries (British & World English)","economic","British & World English","…","Relating to economics or the economy","6"
"http://www.oxforddictionaries.com/definition/english/economy","economy British & World English","English definition of economy in Oxford Dictionaries (British & World English)","economy","British & World English","…","The state of a country or region in terms of the production and consumption of goods and services and the supply of money","6"
"http://www.oxforddictionaries.com/definition/english/education","education British & World English","English definition of education in Oxford Dictionaries (British & World English)","education","British & World English","…","The process of receiving or giving systematic instruction, especially at a school or university","6"
"http://www.oxforddictionaries.com/definition/english/effect","effect British & World English","English definition of effect in Oxford Dictionaries (British & World English)","effect","British & World English","…","A change which is a result or consequence of an action or other cause","6"
"http://www.oxforddictionaries.com/definition/english/effective","effective British & World English","English definition of effective in Oxford Dictionaries (British & World English)","effective","British & World English","…","Successful in producing a desired or intended result","6"
"http://www.oxforddictionaries.com/definition/english/effort","effort British & World English","English definition of effort in Oxford Dictionaries (British & World English)","effort","British & World English","…","A vigorous or determined attempt","6"
"http://www.oxforddictionaries.com/definition/english/eight","eight British & World English","English definition of eight in Oxford Dictionaries (British & World English)","eight","British & World English","…","Equivalent to the product of two and four; one more than seven, or two less than ten; 8","6"
"http://www.oxforddictionaries.com/definition/english/either","either British & World English","English definition of either in Oxford Dictionaries (British & World English)","either","British & World English","…","Used before the first of two (or occasionally more) given alternatives (the other being introduced by ‘or’)","6"
"http://www.oxforddictionaries.com/definition/english/election","election British & World English","English definition of election in Oxford Dictionaries (British & World English)","election","British & World English","…","A formal and organized choice by vote of a person for a political office or other position","6"
"http://www.oxforddictionaries.com/definition/english/element","element British & World English","English definition of element in Oxford Dictionaries (British & World English)","element","British & World English","…","An essential or characteristic part of something abstract","6"
"http://www.oxforddictionaries.com/definition/english/else","else British & World English","English definition of else in Oxford Dictionaries (British & World English)","else","British & World English","…","In addition; besides","6"
"http://www.oxforddictionaries.com/definition/english/email","email British & World English","English definition of email in Oxford Dictionaries (British & World English)","email","British & World English","…","Messages distributed by electronic means from one computer user to one or more recipients via a network","6"
"http://www.oxforddictionaries.com/definition/english/employee","employee British & World English","English definition of employee in Oxford Dictionaries (British & World English)","employee","British & World English","…","A person employed for wages or salary, especially at non-executive level","6"
"http://www.oxforddictionaries.com/definition/english/encourage","encourage British & World English","English definition of encourage in Oxford Dictionaries (British & World English)","encourage","British & World English","…","Give support, confidence, or hope to (someone)","6"
"http://www.oxforddictionaries.com/definition/english/end","end British & World English","English definition of end in Oxford Dictionaries (British & World English)","end","British & World English","…","A final part of something, especially a period of time, an activity, or a story","6"
"http://www.oxforddictionaries.com/definition/english/energy","energy British & World English","English definition of energy in Oxford Dictionaries (British & World English)","energy","British & World English","…","The strength and vitality required for sustained physical or mental activity","6"
"http://www.oxforddictionaries.com/definition/english/enjoy","enjoy British & World English","English definition of enjoy in Oxford Dictionaries (British & World English)","enjoy","British & World English","…","Take delight or pleasure in (an activity or occasion)","6"
"http://www.oxforddictionaries.com/definition/english/enough","enough British & World English","English definition of enough in Oxford Dictionaries (British & World English)","enough","British & World English","…","As much or as many as required","6"
"http://www.oxforddictionaries.com/definition/english/ensure","ensure British & World English","English definition of ensure in Oxford Dictionaries (British & World English)","ensure","British & World English","…","Make certain that (something) will occur or be the case","6"
"http://www.oxforddictionaries.com/definition/english/enter","enter British & World English","English definition of enter in Oxford Dictionaries (British & World English)","enter","British & World English","…","Come or go into (a place)","6"
"http://www.oxforddictionaries.com/definition/english/entire","entire British & World English","English definition of entire in Oxford Dictionaries (British & World English)","entire","British & World English","…","With no part left out; whole","6"
"http://www.oxforddictionaries.com/definition/english/environment","environment British & World English","English definition of environment in Oxford Dictionaries (British & World English)","environment","British & World English","…","The surroundings or conditions in which a person, animal, or plant lives or operates","6"
"http://www.oxforddictionaries.com/definition/english/especially","especially British & World English","English definition of especially in Oxford Dictionaries (British & World English)","especially","British & World English","…","Used to single out one person or thing over all others","6"
"http://www.oxforddictionaries.com/definition/english/establish","establish British & World English","English definition of establish in Oxford Dictionaries (British & World English)","establish","British & World English","…","Set up on a firm or permanent basis","6"
"http://www.oxforddictionaries.com/definition/english/estimate","estimate British & World English","English definition of estimate in Oxford Dictionaries (British & World English)","estimate","British & World English","…","Roughly calculate or judge the value, number, quantity, or extent of","6"
"http://www.oxforddictionaries.com/definition/english/even","even British & World English","English definition of even in Oxford Dictionaries (British & World English)","even","British & World English","…","Flat and smooth","6"
"http://www.oxforddictionaries.com/definition/english/event","event British & World English","English definition of event in Oxford Dictionaries (British & World English)","event","British & World English","…","A thing that happens or takes place, especially one of importance","6"
"http://www.oxforddictionaries.com/definition/english/ever","ever British & World English","English definition of ever in Oxford Dictionaries (British & World English)","ever","British & World English","…","At any time","6"
"http://www.oxforddictionaries.com/definition/english/every","every British & World English","English definition of every in Oxford Dictionaries (British & World English)","every","British & World English","…","Used before a singular noun to refer to all the individual members of a set without exception","6"
"http://www.oxforddictionaries.com/definition/english/everyone","everyone British & World English","English definition of everyone in Oxford Dictionaries (British & World English)","everyone","British & World English","…","Every person","6"
"http://www.oxforddictionaries.com/definition/english/everything","everything British & World English","English definition of everything in Oxford Dictionaries (British & World English)","everything","British & World English","…","All things","6"
"http://www.oxforddictionaries.com/definition/english/evidence","evidence British & World English","English definition of evidence in Oxford Dictionaries (British & World English)","evidence","British & World English","…","The available body of facts or information indicating whether a belief or proposition is true or valid","6"
"http://www.oxforddictionaries.com/definition/english/exactly","exactly British & World English","English definition of exactly in Oxford Dictionaries (British & World English)","exactly","British & World English","…","Used to emphasize the accuracy of a figure or description","6"
"http://www.oxforddictionaries.com/definition/english/example","example British & World English","English definition of example in Oxford Dictionaries (British & World English)","example","British & World English","…","A thing characteristic of its kind or illustrating a general rule","6"
"http://www.oxforddictionaries.com/definition/english/executive","executive British & World English","English definition of executive in Oxford Dictionaries (British & World English)","executive","British & World English","…","Relating to or having the power to put plans or actions into effect","6"
"http://www.oxforddictionaries.com/definition/english/exercise","exercise British & World English","English definition of exercise in Oxford Dictionaries (British & World English)","exercise","British & World English","…","Activity requiring physical effort, carried out to sustain or improve health and fitness","6"
"http://www.oxforddictionaries.com/definition/english/exist","exist British & World English","English definition of exist in Oxford Dictionaries (British & World English)","exist","British & World English","…","Have objective reality or being","6"
"http://www.oxforddictionaries.com/definition/english/expect","expect British & World English","English definition of expect in Oxford Dictionaries (British & World English)","expect","British & World English","…","Regard (something) as likely to happen","6"
"http://www.oxforddictionaries.com/definition/english/experience","experience British & World English","English definition of experience in Oxford Dictionaries (British & World English)","experience","British & World English","…","Practical contact with and observation of facts or events","6"
"http://www.oxforddictionaries.com/definition/english/explain","explain British & World English","English definition of explain in Oxford Dictionaries (British & World English)","explain","British & World English","…","Make (an idea or situation) clear to someone by describing it in more detail or revealing relevant facts","6"
"http://www.oxforddictionaries.com/definition/english/express","express British & World English","English definition of express in Oxford Dictionaries (British & World English)","express","British & World English","…","Convey (a thought or feeling) in words or by gestures and conduct","6"
"http://www.oxforddictionaries.com/definition/english/extend","extend British & World English","English definition of extend in Oxford Dictionaries (British & World English)","extend","British & World English","…","Cause to cover a wider area; make larger","6"
"http://www.oxforddictionaries.com/definition/english/eye","eye British & World English","English definition of eye in Oxford Dictionaries (British & World English)","eye","British & World English","…","Each of a pair of globular organs of sight in the head of humans and vertebrate animals","6"
"http://www.oxforddictionaries.com/definition/english/face","face British & World English","English definition of face in Oxford Dictionaries (British & World English)","face","British & World English","…","The front part of a person’s head from the forehead to the chin, or the corresponding part in an animal","6"
"http://www.oxforddictionaries.com/definition/english/facility","facility British & World English","English definition of facility in Oxford Dictionaries (British & World English)","facility","British & World English","…","A place, amenity, or piece of equipment provided for a particular purpose","6"
"http://www.oxforddictionaries.com/definition/english/fact","fact British & World English","English definition of fact in Oxford Dictionaries (British & World English)","fact","British & World English","…","A thing that is known or proved to be true","7"
"http://www.oxforddictionaries.com/definition/english/factor","factor British & World English","English definition of factor in Oxford Dictionaries (British & World English)","factor","British & World English","…","A circumstance, fact, or influence that contributes to a result","7"
"http://www.oxforddictionaries.com/definition/english/fail","fail British & World English","English definition of fail in Oxford Dictionaries (British & World English)","fail","British & World English","…","Be unsuccessful in achieving one’s goal","7"
"http://www.oxforddictionaries.com/definition/english/failure","failure British & World English","English definition of failure in Oxford Dictionaries (British & World English)","failure","British & World English","…","Lack of success","7"
"http://www.oxforddictionaries.com/definition/english/fall","fall British & World English","English definition of fall in Oxford Dictionaries (British & World English)","fall","British & World English","…","Move from a higher to a lower level, typically rapidly and without control","7"
"http://www.oxforddictionaries.com/definition/english/family","family British & World English","English definition of family in Oxford Dictionaries (British & World English)","family","British & World English","…","A group consisting of two parents and their children living together as a unit","7"
"http://www.oxforddictionaries.com/definition/english/fan","fan British & World English","English definition of fan in Oxford Dictionaries (British & World English)","fan","British & World English","…","An apparatus with rotating blades that creates a current of air for cooling or ventilation","7"
"http://www.oxforddictionaries.com/definition/english/far","far British & World English","English definition of far in Oxford Dictionaries (British & World English)","far","British & World English","…","At, to, or by a great distance (used to indicate the extent to which one thing is distant from another)","7"
"http://www.oxforddictionaries.com/definition/english/fast","fast British & World English","English definition of fast in Oxford Dictionaries (British & World English)","fast","British & World English","…","Moving or capable of moving at high speed","7"
"http://www.oxforddictionaries.com/definition/english/father","father British & World English","English definition of father in Oxford Dictionaries (British & World English)","father","British & World English","…","A man in relation to his child or children","7"
"http://www.oxforddictionaries.com/definition/english/fear","fear British & World English","English definition of fear in Oxford Dictionaries (British & World English)","fear","British & World English","…","An unpleasant emotion caused by the threat of danger, pain, or harm","7"
"http://www.oxforddictionaries.com/definition/english/feature","feature British & World English","English definition of feature in Oxford Dictionaries (British & World English)","feature","British & World English","…","A distinctive attribute or aspect of something","7"
"http://www.oxforddictionaries.com/definition/english/feel","feel British & World English","English definition of feel in Oxford Dictionaries (British & World English)","feel","British & World English","…","Be aware of (a person or object) through touching or being touched","7"
"http://www.oxforddictionaries.com/definition/english/female","female British & World English","English definition of female in Oxford Dictionaries (British & World English)","female","British & World English","…","Of or denoting the sex that can bear offspring or produce eggs, distinguished biologically by the production of gametes (ova) which can be fertilized by male gametes","7"
"http://www.oxforddictionaries.com/definition/english/few","few British & World English","English definition of few in Oxford Dictionaries (British & World English)","few","British & World English","…","A small number of","7"
"http://www.oxforddictionaries.com/definition/english/field","field British & World English","English definition of field in Oxford Dictionaries (British & World English)","field","British & World English","…","An area of open land, especially one planted with crops or pasture, typically bounded by hedges or fences","7"
"http://www.oxforddictionaries.com/definition/english/fight","fight British & World English","English definition of fight in Oxford Dictionaries (British & World English)","fight","British & World English","…","Take part in a violent struggle involving the exchange of physical blows or the use of weapons","7"
"http://www.oxforddictionaries.com/definition/english/figure","figure British & World English","English definition of figure in Oxford Dictionaries (British & World English)","figure","British & World English","…","A number, especially one which forms part of official statistics or relates to the financial performance of a company","7"
"http://www.oxforddictionaries.com/definition/english/file","file British & World English","English definition of file in Oxford Dictionaries (British & World English)","file","British & World English","…","A folder or box for holding loose papers together and in order for easy reference","7"
"http://www.oxforddictionaries.com/definition/english/fill","fill British & World English","English definition of fill in Oxford Dictionaries (British & World English)","fill","British & World English","…","Cause (a space or container) to become full or almost full","7"
"http://www.oxforddictionaries.com/definition/english/film","film British & World English","English definition of film in Oxford Dictionaries (British & World English)","film","British & World English","…","A thin flexible strip of plastic or other material coated with light-sensitive emulsion for exposure in a camera, used to produce photographs or motion pictures","7"
"http://www.oxforddictionaries.com/definition/english/final","final British & World English","English definition of final in Oxford Dictionaries (British & World English)","final","British & World English","…","Coming at the end of a series","7"
"http://www.oxforddictionaries.com/definition/english/finally","finally British & World English","English definition of finally in Oxford Dictionaries (British & World English)","finally","British & World English","…","After a long time, typically when there has been difficulty or delay","7"
"http://www.oxforddictionaries.com/definition/english/financial","financial British & World English","English definition of financial in Oxford Dictionaries (British & World English)","financial","British & World English","…","Relating to finance","7"
"http://www.oxforddictionaries.com/definition/english/find","find British & World English","English definition of find in Oxford Dictionaries (British & World English)","find","British & World English","…","Discover or perceive by chance or unexpectedly","7"
"http://www.oxforddictionaries.com/definition/english/fine","fine British & World English","English definition of fine in Oxford Dictionaries (British & World English)","fine","British & World English","…","Of very high quality; very good of its kind","7"
"http://www.oxforddictionaries.com/definition/english/finish","finish British & World English","English definition of finish in Oxford Dictionaries (British & World English)","finish","British & World English","…","Bring (a task or activity) to an end; complete","7"
"http://www.oxforddictionaries.com/definition/english/fire","fire British & World English","English definition of fire in Oxford Dictionaries (British & World English)","fire","British & World English","…","A process in which substances combine chemically with oxygen from the air and typically give out bright light, heat, and smoke; combustion or burning","7"
"http://www.oxforddictionaries.com/definition/english/firm","firm British & World English","English definition of firm in Oxford Dictionaries (British & World English)","firm","British & World English","…","Having a solid, almost unyielding surface or structure","7"
"http://www.oxforddictionaries.com/definition/english/first","first British & World English","English definition of first in Oxford Dictionaries (British & World English)","first","British & World English","…","Coming before all others in time or order; earliest; 1st","7"
"http://www.oxforddictionaries.com/definition/english/fit","fit British & World English","English definition of fit in Oxford Dictionaries (British & World English)","fit","British & World English","…","Of a suitable quality, standard, or type to meet the required purpose","7"
"http://www.oxforddictionaries.com/definition/english/five","five British & World English","English definition of five in Oxford Dictionaries (British & World English)","five","British & World English","…","Equivalent to the sum of two and three; one more than four, or half of ten; 5","7"
"http://www.oxforddictionaries.com/definition/english/fly","fly British & World English","English definition of fly in Oxford Dictionaries (British & World English)","fly","British & World English","…","(Of a bird, bat, or insect) move through the air using wings","7"
"http://www.oxforddictionaries.com/definition/english/focus","focus British & World English","English definition of focus in Oxford Dictionaries (British & World English)","focus","British & World English","…","The centre of interest or activity","7"
"http://www.oxforddictionaries.com/definition/english/follow","follow British & World English","English definition of follow in Oxford Dictionaries (British & World English)","follow","British & World English","…","Go or come after (a person or thing proceeding ahead); move or travel behind","7"
"http://www.oxforddictionaries.com/definition/english/food","food British & World English","English definition of food in Oxford Dictionaries (British & World English)","food","British & World English","…","Any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth","7"
"http://www.oxforddictionaries.com/definition/english/foot","foot British & World English","English definition of foot in Oxford Dictionaries (British & World English)","foot","British & World English","…","The lower extremity of the leg below the ankle, on which a person stands or walks","7"
"http://www.oxforddictionaries.com/definition/english/for","for British & World English","English definition of for in Oxford Dictionaries (British & World English)","for","British & World English","…","In support of or in favour of (a person or policy)","7"
"http://www.oxforddictionaries.com/definition/english/force","force British & World English","English definition of force in Oxford Dictionaries (British & World English)","force","British & World English","…","Strength or energy as an attribute of physical action or movement","7"
"http://www.oxforddictionaries.com/definition/english/foreign","foreign British & World English","English definition of foreign in Oxford Dictionaries (British & World English)","foreign","British & World English","…","Of, from, in, or characteristic of a country or language other than one’s own","7"
"http://www.oxforddictionaries.com/definition/english/form","form British & World English","English definition of form in Oxford Dictionaries (British & World English)","form","British & World English","…","The visible shape or configuration of something","7"
"http://www.oxforddictionaries.com/definition/english/former","former British & World English","English definition of former in Oxford Dictionaries (British & World English)","former","British & World English","…","Having previously been a particular thing","7"
"http://www.oxforddictionaries.com/definition/english/forward","forward British & World English","English definition of forward in Oxford Dictionaries (British & World English)","forward","British & World English","…","In the direction that one is facing or travelling; towards the front","7"
"http://www.oxforddictionaries.com/definition/english/four","four British & World English","English definition of four in Oxford Dictionaries (British & World English)","four","British & World English","…","Equivalent to the product of two and two; one more than three, or six less than ten; 4","7"
"http://www.oxforddictionaries.com/definition/english/free","free British & World English","English definition of free in Oxford Dictionaries (British & World English)","free","British & World English","…","Able to act or be done as one wishes; not under the control of another","7"
"http://www.oxforddictionaries.com/definition/english/friend","friend British & World English","English definition of friend in Oxford Dictionaries (British & World English)","friend","British & World English","…","A person with whom one has a bond of mutual affection, typically one exclusive of sexual or family relations","7"
"http://www.oxforddictionaries.com/definition/english/from","from British & World English","English definition of from in Oxford Dictionaries (British & World English)","from","British & World English","…","Indicating the point in space at which a journey, motion, or action starts","7"
"http://www.oxforddictionaries.com/definition/english/front","front British & World English","English definition of front in Oxford Dictionaries (British & World English)","front","British & World English","…","The side or part of an object that presents itself to view or that is normally seen or used first; the most forward part of something","7"
"http://www.oxforddictionaries.com/definition/english/full","full British & World English","English definition of full in Oxford Dictionaries (British & World English)","full","British & World English","…","Containing or holding as much or as many as possible; having no empty space","7"
"http://www.oxforddictionaries.com/definition/english/fun","fun British & World English","English definition of fun in Oxford Dictionaries (British & World English)","fun","British & World English","…","Enjoyment, amusement, or light-hearted pleasure","7"
"http://www.oxforddictionaries.com/definition/english/function","function British & World English","English definition of function in Oxford Dictionaries (British & World English)","function","British & World English","…","An activity that is natural to or the purpose of a person or thing","8"
"http://www.oxforddictionaries.com/definition/english/fund","fund British & World English","English definition of fund in Oxford Dictionaries (British & World English)","fund","British & World English","…","A sum of money saved or made available for a particular purpose","8"
"http://www.oxforddictionaries.com/definition/english/further","further British & World English","English definition of further in Oxford Dictionaries (British & World English)","further","British & World English","…","used as comparative of far.","8"
"http://www.oxforddictionaries.com/definition/english/future","future British & World English","English definition of future in Oxford Dictionaries (British & World English)","future","British & World English","…","A period of time following the moment of speaking or writing; time regarded as still to come","8"
"http://www.oxforddictionaries.com/definition/english/gain","gain British & World English","English definition of gain in Oxford Dictionaries (British & World English)","gain","British & World English","…","Obtain or secure (something wanted or desirable)","8"
"http://www.oxforddictionaries.com/definition/english/game","game British & World English","English definition of game in Oxford Dictionaries (British & World English)","game","British & World English","…","A form of competitive activity or sport played according to rules","8"
"http://www.oxforddictionaries.com/definition/english/gene","gene British & World English","English definition of gene in Oxford Dictionaries (British & World English)","gene","British & World English","…","(In informal use) a unit of heredity which is transferred from a parent to offspring and is held to determine some characteristic of the offspring","8"
"http://www.oxforddictionaries.com/definition/english/general","general British & World English","English definition of general in Oxford Dictionaries (British & World English)","general","British & World English","…","Affecting or concerning all or most people or things; widespread","8"
"http://www.oxforddictionaries.com/definition/english/generally","generally British & World English","English definition of generally in Oxford Dictionaries (British & World English)","generally","British & World English","…","In most cases; usually","8"
"http://www.oxforddictionaries.com/definition/english/generation","generation British & World English","English definition of generation in Oxford Dictionaries (British & World English)","generation","British & World English","…","All of the people born and living at about the same time, regarded collectively","8"
